id,fishmode,d,p,q,mode,income
1,beach,0.0,157.93,0.0678,charter,7.0833316
1,pier,0.0,157.93,0.0503,charter,7.0833316
1,private,0.0,157.93,0.2601,charter,7.0833316
1,charter,1.0,182.93,0.5391,charter,7.0833316
2,beach,0.0,15.114,0.1049,charter,1.2499998
2,pier,0.0,15.114,0.0451,charter,1.2499998
2,private,0.0,10.534,0.1574,charter,1.2499998
2,charter,1.0,34.534,0.4671,charter,1.2499998
3,beach,0.0,161.874,0.5333,private,3.75
3,pier,0.0,161.874,0.4522,private,3.75
3,private,1.0,24.334,0.2413,private,3.75
3,charter,0.0,59.334,1.0266,private,3.75
4,beach,0.0,15.134,0.0678,pier,2.0833333
4,pier,1.0,15.134,0.0789,pier,2.0833333
4,private,0.0,55.93,0.1643,pier,2.0833333
4,charter,0.0,84.93,0.5391,pier,2.0833333
5,beach,0.0,106.93,0.0678,private,4.583332
5,pier,0.0,106.93,0.0503,private,4.583332
5,private,1.0,41.514,0.1082,private,4.583332
5,charter,0.0,71.014,0.324,private,4.583332
6,beach,0.0,192.474,0.5333,charter,4.583332
6,pier,0.0,192.474,0.4522,charter,4.583332
6,private,0.0,28.934,0.1665,charter,4.583332
6,charter,1.0,63.934,0.3975,charter,4.583332
7,beach,1.0,51.934,0.0678,beach,8.750001
7,pier,0.0,51.934,0.0789,beach,8.750001
7,private,0.0,191.93,0.1643,beach,8.750001
7,charter,0.0,220.93,0.5391,beach,8.750001
8,beach,0.0,15.134,0.0678,charter,2.0833333
8,pier,0.0,15.134,0.0789,charter,2.0833333
8,private,0.0,21.714,0.0102,charter,2.0833333
8,charter,1.0,56.714,0.0209,charter,2.0833333
9,beach,0.0,34.914,0.2537,private,3.75
9,pier,0.0,34.914,0.1498,private,3.75
9,private,1.0,34.914,0.0233,private,3.75
9,charter,0.0,53.414,0.0219,private,3.75
10,beach,0.0,28.314,0.2537,private,2.9166665
10,pier,0.0,28.314,0.1498,private,2.9166665
10,private,1.0,28.314,0.0233,private,2.9166665
10,charter,0.0,46.814,0.0219,private,2.9166665
11,beach,0.0,34.914,0.1049,pier,3.75
11,pier,1.0,34.914,0.0451,pier,3.75
11,private,0.0,24.334,0.1574,pier,3.75
11,charter,0.0,48.334,0.4671,pier,3.75
12,beach,0.0,312.144,0.5333,private,7.0833316
12,pier,0.0,312.144,0.4522,private,7.0833316
12,private,1.0,16.722,0.2413,private,7.0833316
12,charter,0.0,51.722,1.0266,private,7.0833316
13,beach,0.0,17.862,0.1049,pier,1.2499998
13,pier,1.0,17.862,0.0451,pier,1.2499998
13,private,0.0,4.122,0.0023,pier,1.2499998
13,charter,0.0,28.122,0.0046,pier,1.2499998
14,beach,0.0,15.134,0.0678,pier,2.0833333
14,pier,1.0,15.134,0.0789,pier,2.0833333
14,private,0.0,55.93,0.0014,pier,2.0833333
14,charter,0.0,84.93,0.0029,pier,2.0833333
15,beach,1.0,74.514,0.2537,beach,8.750001
15,pier,0.0,74.514,0.1498,beach,8.750001
15,private,0.0,74.514,0.2339,beach,8.750001
15,charter,0.0,93.014,0.6288,beach,8.750001
16,beach,0.0,33.534,0.0678,pier,5.4166665
16,pier,1.0,33.534,0.0789,pier,5.4166665
16,private,0.0,123.93,0.1643,pier,5.4166665
16,charter,0.0,152.93,0.5391,pier,5.4166665
17,beach,1.0,48.114,0.1049,beach,5.4166665
17,pier,0.0,48.114,0.0451,beach,5.4166665
17,private,0.0,33.534,0.1574,beach,5.4166665
17,charter,0.0,57.534,0.4671,beach,5.4166665
18,beach,0.0,33.462,0.1049,pier,2.9166665
18,pier,1.0,33.462,0.0079,pier,2.9166665
18,private,0.0,7.722,0.0613,pier,2.9166665
18,charter,0.0,31.722,0.3087,pier,2.9166665
19,beach,0.0,211.344,0.5333,private,4.583332
19,pier,0.0,211.344,0.0069,private,4.583332
19,private,1.0,11.322,0.0361,private,4.583332
19,charter,0.0,46.322,0.4216,private,4.583332
20,beach,0.0,49.062,0.1049,private,4.583332
20,pier,0.0,49.062,0.0451,private,4.583332
20,private,1.0,11.322,0.1574,private,4.583332
20,charter,0.0,35.322,0.4671,private,4.583332
21,beach,0.0,345.744,0.5333,charter,7.9166665
21,pier,0.0,345.744,0.4522,charter,7.9166665
21,private,0.0,18.522,0.0156,charter,7.9166665
21,charter,1.0,53.522,0.0058,charter,7.9166665
22,beach,0.0,88.062,0.1049,charter,8.750001
22,pier,0.0,88.062,0.0451,charter,8.750001
22,private,0.0,20.322,0.0023,charter,8.750001
22,charter,1.0,44.322,0.0046,charter,8.750001
23,beach,0.0,100.674,0.5333,private,2.0833333
23,pier,0.0,100.674,0.4522,private,2.0833333
23,private,1.0,15.134,0.1665,private,2.0833333
23,charter,0.0,50.134,0.3975,private,2.0833333
24,beach,0.0,28.314,0.1049,charter,2.9166665
24,pier,0.0,28.314,0.0079,charter,2.9166665
24,private,0.0,19.734,0.0613,charter,2.9166665
24,charter,1.0,43.734,0.3087,charter,2.9166665
25,beach,0.0,33.462,0.0678,charter,2.9166665
25,pier,0.0,33.462,0.0789,charter,2.9166665
25,private,0.0,34.32,0.0559,charter,2.9166665
25,charter,1.0,69.32,0.6456,charter,2.9166665
26,beach,1.0,67.784,0.5333,beach,1.2499998
26,pier,0.0,67.784,0.4522,beach,1.2499998
26,private,0.0,17.862,0.2413,beach,1.2499998
26,charter,0.0,52.862,1.0266,beach,1.2499998
27,beach,0.0,50.32,0.1049,pier,4.583332
